"","Organisation","Organisation_fame_search","Company.name"
"1124","Direct Care Children's Homes","Direct Care childrens Homes","DIRECT CARE CHILDRENS HOMES LTD"
"1125","Bright Life Living (Stirchley) Ltd","Bright Life Living (Stirchley) Ltd","BRIGHT LIFE LIVING (STIRCHLEY) LTD"
"1126","Advocate Recruitment Ltd","Advocate Recruitment Ltd","ADVOCATE RECRUITMENT LTD"
"1127","Ash House Care Ltd","Ash House Care Ltd","ASH HOUSE CARE LTD"
"1128","RESILIENCE RESIDENTIAL SERVICES LTD","RESILIENCE RESIDENTIAL SERVICES LTD","RESILIENCE RESIDENTIAL SERVICES LTD"
"1129","Elite Children's Care Group Ltd","Elite childrens Care Group Ltd","ELITE CHILDREN'S CARE GROUP LTD"
"1130","Catch22 Charity Limited","Catch 22 Charity Limited","CATCH 22 CHARITY LIMITED"
"1131","Prime Calibre Care Group Ltd","Prime Calibre Care Group Ltd","PRIME CALIBRE CARE GROUP LTD"
"1132","My House Calow Ltd","My House Calow Ltd","MY HOUSE CALOW LTD"
"1133","Treetops Children's Homes Limited","Treetops childrens Homes Limited","TREETOPS CHILDREN'S HOMES LIMITED"
"1134","Nelbro Group Limited","Nelbro Group Limited","NELBRO GROUP LIMITED"
"1135","Tutelage Care Barking Ltd","Tutelage Care Barking Ltd","TUTELAGE CARE BARKING LTD"
"1136","Manuel Cornwall Ltd","Manuel Cornwall Ltd","MANUEL CORNWALL LTD"
"1137","Care Acre Ltd","Care Acre Ltd","CARE ACRE LIMITED"
"1138","Restoring Lives Ltd","Restoring Lives Ltd","RESTORING LIVES LTD"
"1139","Lighthouse Children's Care LTD","SUSSEX CHILDRENS CARE LTD","SUSSEX CHILDREN'S CARE LTD"
"1140","Tutelage care Redbridge Ltd","Tutelage care Redbridge Ltd","TUTELAGE CARE REDBRIDGE LTD"
"1141","Prime Nurture Services Limited","Prime Nurture Services Limited","PRIME NURTURE SERVICES LTD"
"1142","CF Social Work Ltd","CF Social Work Ltd","C F SOCIAL WORK LIMITED"
"1143","Rubicon Children and Family Services Ltd","Rubicon Children and Family Services Ltd","RUBICON CHILDREN & FAMILY SERVICES LIMITED"
"1144","Cynhenid Care Ltd","Cynhenid Care Ltd","CYNHENID CARE LTD"
"1145","Heathfield (Parkgate) Ltd","Heathfield (Parkgate) Ltd","HEATHFIELD (PARKGATE) LIMITED"
"1146","AMMA Childcare Services Ltd","AMMA Childcare Services Ltd","AMMA CHILDCARE SERVICES LTD"
"1147","Within Reach Services Limited","Within Reach Services Limited","WITHIN REACH SERVICES LIMITED"
"1148","GSM Ardent Ltd","GSM Ardent Ltd","GSM ARDENT LIMITED"
"1149","North Lakes Children's Service Limited","North Lakes childrens Service Limited","NORTH LAKES CHILDRENS SERVICES LIMITED"
"1150","Choices Home for Children Limited","Choices Home for Children Limited","CHOICES HOME FOR CHILDREN LIMITED"
"1151","Progressive Care Ltd ","Progressive Care Ltd","PROGRESSIVE CARE LIMITED"
"1152","Castle Homes Care Limited","Castle Homes Care Limited","CASTLE HOMES CARE LIMITED"
"1153","National Autistic Society (The)","National Autistic Society (The)","NATIONAL AUTISTIC SOCIETY(THE)"
"1154","Evolution Children Services Limited","Evolution Children Services Limited","EVOLUTION CHILDREN SERVICES LTD"
"1155","Green View Young People Limited","Green View Young People Limited","GREEN VIEW YOUNG PEOPLE LIMITED"
"1156","Plus One South West Ltd","Plus One South West Ltd","PLUS ONE (SOUTH WEST) LIMITED"
"1157","Roundhouse Care Limited","Roundhouse Care Limited","ROUNDHOUSE CARE LIMITED"
"1158","Aspris New Education Services Limited","Aspris New Education Services Limited","ASPRIS NEW EDUCATION SERVICES LIMITED"
"1159","Carlisle Mencap Limited","Carlisle Mencap Limited","CARLISLE MENCAP LIMITED"
"1160","Central & Southern Homes","Central & Southern Homes","CENTRAL & SOUTHERN HOMES LTD"
"1161","Compass Childrens Homes Ltd","Compass Childrens Homes Ltd","COMPASS CHILDREN'S HOMES LIMITED"
"1162","Homes 2 inspire","Homes 2 inspire","HOMES 2 INSPIRE LIMITED"
"1163","Consensus Support Services Limited","Consensus Support Services Limited","CONSENSUS SUPPORT SERVICES LIMITED"
"1164","New Horizons (Stockport) Ltd","New Horizons (Stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD"
"1165","K & G Care Ltd","K & G Care Ltd","K & G CARE LTD"
"1166","Ash House Care LTD","Ash House Care LTD","ASH HOUSE CARE LTD"
"1167","Excel Residential Care Ltd","Excel Residential Care Ltd","EXCEL RESIDENTIAL CARE LIMITED"
"1168","Hillcrest Childrens Services (2) Limited","Hillcrest Childrens Services (2) Limited","HILLCREST CHILDRENS SERVICES (2) LIMITED"
"1169","New Horizons (NW) Ltd","New Horizons (NW) Ltd","NEW HORIZONS (NW) LTD"
"1170","Enhanced Young Person's Care LTD","Enhanced Young Persons Care LTD","ENHANCED YOUNG PERSONS' CARE LIMITED"
"1171","The Forge Nuneaton Limited","The Forge Nuneaton Limited","THE FORGE (NUNEATON) LIMITED"
"1172","Closer 2 Home Limited","Closer 2 Home Limited","CLOSER 2 HOME LIMITED"
"1173","Willow Care Group Limited","Willow Care Group Limited","WILLOW CARE GROUP LIMITED"
"1174","Lily Residential Services Ltd","Lily Residential Services Ltd","LILY RESIDENTIAL SERVICES LTD"
"1175","New Path Residential Ltd","New Path Residential Ltd","NEW PATH RESIDENTIAL LTD"
"1176","Core Children LTD","Core Children LTD","CORE CHILDREN LTD"
"1177","Inspirations Leicestershire LTD","Inspirations Leicestershire LTD","INSPIRATIONS LEICESTERSHIRE LIMITED"
"1178","Resilience Residential Services Ltd ","Resilience Residential Services Ltd","RESILIENCE RESIDENTIAL SERVICES LTD"
"1179","Chamberlain Residential Care LTD","Chamberlain Residential Care LTD","CHAMBERLAIN RESIDENTIAL CARE LTD"
"1180","Cherish Childrens Care Ltd","Cherish Childrens Care Ltd","CHERISH CHILDRENS CARE LTD"
"1181","Gracebridge Care","Gracebridge Care","GRACEBRIDGE CARE LIMITED"
"1182","Omega care Group LTD","Omega care Group LTD","OMEGA CARE GROUP LTD"
"1183","Winurture Childcare Ltd ","Winurture Childcare Ltd","WINURTURE CHILDCARE LTD"
"1184","Detail Personnel Care Limited","Detail Personnel Care Limited","DETAIL PERSONNEL CARE LIMITED"
"1185","YMCA Leicestershire ","YMCA Leicestershire","YMCA LEICESTERSHIRE"
"1186","Continuum Support - Care Services LTD","Continuum Support - Care Services LTD","CONTINUUM SUPPORT - CARE SERVICES LTD"
"1187","Impact Childcare and Education Ltd ","Impact Childcare and Education Ltd","IMPACT CHILDCARE AND EDUCATION LTD"
"1188","Your Chapter Holdings Limited","Your Chapter Holdings Limited","YOUR CHAPTER HOLDINGS LIMITED"
"1189","Your Chapter LTD","Your Chapter LTD","YOUR CHAPTER LIMITED"
"1190","YMCA Robin Hood Group","YMCA Robin Hood Group","YMCA ROBIN HOOD GROUP"
"1191","Parkwood Care","Parkwood Care","PARKWOOD CARE LIMITED"
"1192","OLIVE TREE RESIDENTIAL CARE LIMITED","OLIVE TREE RESIDENTIAL CARE LIMITED","OLIVE TREE RESIDENTIAL CARE LIMITED"
"1193","Active Young People Limited","Active Young People Limited","ACTIVE YOUNG PEOPLE LIMITED"
"1194","R.E.A.C.H CHC LTD","R.E.A.C.H CHC LTD","R.E.A.C.H CHC LIMITED"
"1195","Sussex Children's Care LTD","Sussex childrens Care LTD","SUSSEX CHILDREN'S CARE LTD"
"1196","The Place Young People's Company","The Place Young Peoples Company","THE PLACE YOUNG PEOPLES COMPANY LIMITED"
"1197","SWAAY Child & Adolescent Services Ltd","SWAAY Child & Adolescent Services Ltd","SWAAY CHILD AND ADOLESCENT SERVICES LIMITED"
"1198","Doonamis Limited","Doonamis Limited","DOONAMIS LIMITED"
"1199","Theracare Homes Limited","Theracare Homes Limited","THERACARE HOMES LIMITED"
"1200","ROC Family Support Ltd","ROC FAMILY TIME LIMITED","ROC FAMILY TIME LIMITED"
"1201","Purple Ash Limited","Purple Ash Limited","PURPLE ASH LIMITED"
"1202","Beaufort care Group","Beaufort care Group","BEAUFORT CARE GROUP LIMITED"
"1203","Direct Care Childrens Homes Ltd","Direct Care Childrens Homes Ltd","DIRECT CARE CHILDRENS HOMES LTD"
"1204","Aspiration House Limited","Aspiration House Limited","ASPIRATION HOUSE LIMITED"
"1205","Branas Isaf (Holdings) Ltd","Branas Isaf (Holdings) Ltd","BRANAS ISAF (HOLDINGS) LIMITED"
"1206","MY3 Limited","MY3 Limited","MY3 LIMITED"
"1207","High View Children's Services Limited","High View childrens Services Limited","HIGH VIEW CHILDRENS SERVICES LIMITED"
"1208","Fairways Care (UK) Limited","Fairways Care (UK) Limited","FAIRWAYS CARE (UK) LIMITED"
"1209","Support and Sustain Care Ltd","Support and Sustain Care Ltd","SUPPORT AND SUSTAIN CARE LTD"
"1210","Resolute Care LTD","Resolute Care LTD","RESOLUTE CARE LTD"
"1211","Jeeves Care Group Ltd","Jeeves Care Group Ltd","JEEVES CARE GROUP LIMITED"
"1212","Birchwood Children's Services Ltd","Birchwood childrens Services Ltd","BIRCHWOOD CHILDRENS SERVICES LIMITED"
"1213","G B A Care Limited","G B A Care Limited","G B A CARE LIMITED"
"1214","Parallel Parents Ltd.","Parallel Parents Ltd.","PARALLEL PARENTS LTD"
"1215","Accalia Care Services Ltd.","Accalia Care Services Ltd.","ACCALIA CARE SERVICES LTD"
"1216","Personal Security Service Limited","Personal Security Service Limited","PERSONAL SECURITY SERVICE LIMITED"
"1217","ARTEMIS SUPPORT LIMITED","ARTEMIS SUPPORT LIMITED","COMPASS CHILDREN'S HOMES NORTH EAST LIMITED"
"1218","Good Foundations ltd","Good Foundations ltd","GOOD FOUNDATION LTD"
"1219","Cannon Children Services Limited","Cannon Children Services Limited","CANNON CHILDREN SERVICES LIMITED"
"1220","SHALAMAR CHILDREN LIMITED","SHALAMAR CHILDREN LIMITED","SHALAMAR CHILDREN LIMITED"
"1221","Berry Gifford LTD","Berry Gifford LTD","BERRY GIFFORD LTD"
"1222","Outbound Care Limited","Outbound Care Limited","OUTBOUND CARE LIMITED"
"1223","Real Care Support Ltd","Real Care Support Ltd","REAL CARE SUPPORT LIMITED"
"1224","Azalea Care Ltd","Azalea Care Ltd","AZALEA CARE LTD"
"1225","Moonreach LTD","Moonreach LTD","MOONREACH LIMITED"
"1226","Cherry Trees Care Ltd","Cherry Trees Care Ltd","CHERRY TREES CARE LTD"
"1227","Rise Above Care Ltd","Rise Above Care Ltd","RISE ABOVE CARE LTD"
"1228","Helm Care Services Ltd","Helm Care Services Ltd","HELM CARE SERVICES LTD"
"1229","My Tribe Homes Ltd","My Tribe Homes Ltd","MY TRIBE HOMES LTD"
"1230","Caring Feathers Ltd","Caring Feathers Ltd","CARING FEATHERS LTD"
"1231","New Roots Children's Services Limited","New Roots childrens Services Limited","NEW ROOTS CHILDREN'S SERVICES LIMITED"
"1232","Southend on Sea Young Men's Christian Association","SOUTHEND-ON-SEA YOUNG MEN'S CHRISTIAN ASSOCIATION","SOUTHEND-ON-SEA YOUNG MEN'S CHRISTIAN ASSOCIATION"
"1233","Sunrise Hill Care Ltd","Sunrise Hill Care Ltd","SUNRISE HILL CARE LTD"
"1234","Smoothstone Care & Education","SMOOTH STONE CARE AND EDUCATION LIMITED","SMOOTH STONE CARE AND EDUCATION LIMITED"
"1235","Sportfit Support Services Ltd","Sportfit Support Services Ltd","SPORTFIT SUPPORT SERVICES LIMITED"
"1236","Green Harvest Capital Consulting Ltd","Green Harvest Capital Consulting Ltd","GREEN HARVEST CAPITAL CONSULTING LTD"
"1237","Devon & Cornwall Autistic Community Trust","Devon & Cornwall Autistic Community Trust","DEVON & CORNWALL AUTISTIC COMMUNITY TRUST"
"1238","Care Today (Children's Services) Ltd","Care Today (childrens Services) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD"
"1239","Sunbridge Childcare Ltd","Sunbridge Childcare Ltd","SUNBRIDGE CHILDCARE LTD"
"1240","Tutelage Care Hatley Ltd","Tutelage Care Hatley Ltd","TUTELAGE CARE HATLEY LTD"
"1241","Sure Steps Support Services Ltd","Sure Steps Support Services Ltd","SURE STEPS SUPPORT SERVICES LTD"
"1242","Trinity Care and Education Services Ltd","Trinity Care and Education Services Ltd","PROSPERITY CHILDRENS SERVICES LIMITED"
"1243","HEADSTART RESIDENTIAL CARE LTD","HEADSTART RESIDENTIAL CARE LTD","HEADSTART RESIDENTIAL CARE LTD"
"1244","Invested Childcare LTD","Invested Childcare LTD","INVESTED CHILDCARE LTD"
"1245","Ivie Lodge Limited","Ivie Lodge Limited","IVIE LODGE LIMITED"
"1246","Step Up Children and Family Services Ltd","Step Up Children and Family Services Ltd","STEP UP CHILDREN AND FAMILY SERVICES LIMITED"
"1247","Cedarways Residential Child Care  Larkhill House Limited","Cedarways Residential Child Care Larkhill House Limited","CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED"
"1248","Harmony Childcare Residential Homes Limited","Harmony Childcare Residential Homes Limited","HARMONY CHILDCARE RESIDENTIAL HOMES LTD"
"1249","Hollybank Trust","Hollybank Trust","HOLLYBANK TRUST"
"1250","Jasper Education and Support Services Limited","Jasper Education and Support Services Limited","JASPER EDUCATION AND SUPPORT SERVICES LIMITED"
"1251","Monarch Intervention Services Limited","Monarch Intervention Services Limited","MONARCH INTERVENTION SERVICES LIMITED"
"1252","Belmont Residential Care Ltd","Belmont Residential Care Ltd","BELMONT RESIDENTIAL CARE LTD"
"1253","Birchwood Independence Ltd","Birchwood Independence Ltd","BIRCHWOOD INDEPENDENCE LTD"
"1254","Roxwell Care Ilford Limited","Roxwell Care Ilford Limited","ROXWELL CARE ILFORD LIMITED"
"1255","G&S caring for children and young people ltd","G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD","G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD"
"1256","EJ Childcare Services LTD","EJ Childcare Services LTD","EJ CHILDCARE SERVICES LTD"
"1257","Cherry Care Children's Home LTD","Cherry Care childrens Home LTD","CHERRY CARE CHILDREN'S HOME LTD"
"1258","TRESSELL Homes ltd","TRESSELL Homes ltd","TRESSELL HOMES LTD"
"1259","Chillington Close Limited","Chillington Close Limited","CHILLINGTON CLOSE LTD"
"1260","XYP Childcare Ltd","XYP Childcare Ltd","XYP CHILDCARE LIMITED"
"1261","SW Education & Care Ltd","SW Education & Care Ltd","SW EDUCATION & CARE LTD"
"1262","Watermead Care Limited","Watermead Care Limited","WATERMEAD CARE LTD"
"1263","Choices Home for Children","Choices Home for Children","CHOICES HOME FOR CHILDREN LIMITED"
"1264","Residential Childcare Community(Town Hall) LTD","Residential Child care Community (Town Hall) LTD","RESIDENTIAL CHILD CARE COMMUNITY (TOWN HALL) LIMITED"
"1265","Formations Care Services Ltd","Formations Care Services Ltd","FORMATIONS CARE SERVICES LTD"
"1266","Hestia Homes For Children Limited","Hestia Homes For Children Limited","HESTIA HOMES FOR CHILDREN LIMITED"
"1267","Virtue Therapeutic Care and Education (East Sussex) Limited","Virtue Therapeutic Care and Education (East Sussex) Limited","VIRTUE THERAPEUTIC CARE & EDUCATION (EAST SUSSEX) LIMITED"
"1268","The Amicus Community (Arundel) Ltd","The Amicus Community (Arundel) Ltd","THE AMICUS COMMUNITY ARUNDEL LIMITED"
"1269","JMR Healthcare Ltd","JMR Healthcare Ltd","JMR HEALTHCARE LTD"
"1270","Holistic Care Service Nationwide Limited","Holistic Care Service Nationwide Limited","HOLISTIC CARE SERVICE NATIONWIDE LIMITED"
"1271","Barnardo's Services Limited","Barnardos Services Limited","BARNARDO SERVICES LIMITED"
"1272","Stepping Stones Care Limited","Stepping Stones Care Limited","STEPPING STONES CARE LIMITED"
"1273","Thrive Childcare Services Limited","Thrive Childcare Services Limited","THRIVE CHILDCARE SERVICES LTD"
"1274","Bay Tree House Higham Ltd","Bay Tree House Higham Ltd","BAY TREE HOUSE (HIGHAM) LTD"
"1275","Embrace Care Ltd","Embrace Care Ltd","EMBRACE CARE LTD"
"1276","Blossom SC Ltd","PARKER SC LTD","PARKER SC LTD"
"1277","Willow Tree Children's Services Ltd","Willow Tree childrens Services Ltd","WILLOW TREE CHILDREN'S SERVICES LTD"
"1278","Jurita Limited","Jurita Limited","JURITA LIMITED"
"1279","3S Adolescent Care Limited","3S Adolescent Care Limited","3S ADOLESCENT CARE LIMITED"
"1280","Regional Therapeutic Homes Ltd","Regional Therapeutic Homes Ltd","REGIONAL THERAPEUTIC HOMES LTD"
"1281","Bear Care Services Limited","Bear Care Services Limited","BEAR CARE SERVICES LIMITED"
"1282","AEGIS 24/7 LTD","AEGIS 24/7 LTD","AEGIS 24/7 LTD"
"1283","Safety and Focused Care Ltd","Safety and Focused Care Ltd","SAFETY & FOCUSED CARE LTD"
"1284","Talbot House Children's Charity Limited","Talbot House childrens Charity Limited","TALBOT HOUSE CHILDREN'S CHARITY LIMITED"
"1285","Jayne's Homes Limited","Jaynes Homes Limited","JAYNE HOMES LIMITED"
"1286","Strive and succeed Ltd","Strive and succeed Ltd","STRIVE AND SUCCEED LTD"
"1287","Fresh Start Care Group Ltd","Fresh Start Care Group Ltd","FRESH START CARE GROUP LTD"
"1288","C & C Unique Care Solution Ltd ","C & C Unique Care Solution Ltd","C & C UNIQUE CARE SOLUTIONS LTD"
"1289","Libre Living Ltd","Libre Living Ltd","LIBRE LIVING LIMITED"
"1290","Emerge Care And Therapeutic Solutions Limited","Emerge Care And Therapeutic Solutions Limited","EMERGE CARE AND THERAPEUTIC SOLUTIONS LIMITED"
"1291","SV Care Services Ltd","SV Care Services Ltd","SV CARE SERVICES LIMITED"
