"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep"
"198","For-profit","SC413678",2,"KINGSTON UPON HULL","Horton Establishments Ltd","12/07/2011","Good",2015-01-13,1,"2014-01-01","2021-09-13",NA
"199","For-profit","SC464532",3,"EALING","Alicie Enterprises Limited",NA,"Inadequate",2015-01-13,1,"2014-01-01","2019-02-27",NA
"200","Local Authority","SC470513",52,"KENT","Bradstow School (Wandsworth Local Authority)","07/01/2014","Good",2015-01-13,1,"2014-01-01",NA,NA
"201","For-profit","SC472325",2,"STAFFORDSHIRE","Aspireone Care Ltd","25/01/2014","Good",2015-01-13,1,"2014-01-01",NA,NA
"202","Third Sector","SC025700",8,"NORFOLK","Institute of Integrated Systemic Therapy","23/07/1999","Outstanding",2015-01-13,1,"2014-01-01",NA,NA
"203","For-profit","SC029865",3,"WEST SUSSEX","My Choice Children's Homes Ltd","30/12/2002","Good",2015-01-13,1,"2014-01-01",NA,NA
"204","Local Authority","SC034235",6,"NORTH YORKSHIRE","North Yorkshire County Council","14/10/2003","Good",2015-01-13,1,"2014-01-01",NA,NA
"205","For-profit","SC452107",3,"CAMBRIDGESHIRE","Semi-Independent House Limited","03/12/2012","Good",2015-01-13,1,"2014-01-01",NA,NA
"206","Local Authority","SC356868",5,"SHEFFIELD","Sheffield City Council","15/08/2007","Good",2015-01-13,1,"2014-01-01",NA,NA
"207","Third Sector","SC420587",4,"SOUTH TYNESIDE",NA,NA,"Good",2015-01-13,1,"2014-01-01","2017-09-28",NA
"208","Local Authority","SC061045",4,"DORSET",NA,NA,"Good",2015-01-12,1,"2014-01-01","2017-10-02",NA
"209","Third Sector","SC025739",4,"STOCKPORT","The Together Trust","24/07/1998","Good",2015-01-12,1,"2014-01-01",NA,NA
"210","For-profit","SC403411",4,"HOUNSLOW",NA,NA,"Inadequate",2015-01-12,1,"2014-01-01","2016-10-11",NA
"211","For-profit","SC067238",5,"STOCKPORT",NA,NA,"Good",2015-01-12,1,"2014-01-01","2017-06-30",NA
"212","For-profit","SC436386",4,"LINCOLNSHIRE","Knossington Grange School Ltd","16/09/2011","Good",2015-01-12,1,"2014-01-01",NA,NA
"213","Local Authority","SC035220",3,"DURHAM","Durham County Council","05/09/2003","Good",2015-01-09,1,"2014-01-01",NA,NA
"214","For-profit","SC389781",8,"TOWER HAMLETS","The Qalb Short Break Services Ltd","11/02/2009","Good",2015-01-09,1,"2014-01-01",NA,NA
"215","Local Authority","SC038500",4,"DUDLEY","Dudley Metropolitan Borough Council","22/04/2003","Outstanding",2015-01-08,1,"2014-01-01","2022-05-28",NA
"216","Local Authority","SC059842",5,"BOLTON","Bolton Metropolitan Borough Council","10/03/2004","Outstanding",2015-01-07,1,"2014-01-01",NA,NA
"217","Local Authority","SC035380",6,"STOCKTON ON TEES","Stockton on Tees Borough Council","25/03/2003","Good",2015-01-07,1,"2014-01-01",NA,NA
"218","Local Authority","SC038237",5,"DARLINGTON","Darlington Borough Council","05/09/2003","Good",2015-01-07,1,"2014-01-01",NA,NA
"219","For-profit","SC430320",5,"BARKING AND DAGENHAM","The Vine Residential Services (TVRS) Ltd","09/08/2011","Good",2015-01-07,1,"2014-01-01",NA,NA
"220","Third Sector","SC025718",4,"NORFOLK","Break","16/11/1995","Good",2015-01-07,1,"2014-01-01",NA,NA
"221","Local Authority","SC036009",6,"SHEFFIELD","Sheffield City Council","22/04/2003","Good",2015-01-07,1,"2014-01-01",NA,NA
"222","Local Authority","SC066277",9,"HAMPSHIRE","Hampshire County Council","16/02/2006","Good",2015-01-07,1,"2014-01-01","2022-11-01",NA
"223","For-profit","SC401685",23,"STAFFORDSHIRE","Priory Education Services Limited 06244880","16/03/2010","Good",2015-01-07,1,"2014-01-01",NA,NA
"224","For-profit","SC042590",4,"MIDDLESBROUGH","A J Residential Care Ltd",NA,"Good",2015-01-07,1,"2014-01-01","2018-04-22",NA
"225","For-profit","SC067895",3,"KENT","Channels and Choices Kent LLP","21/08/2006","Good",2015-01-07,1,"2014-01-01",NA,NA
"226","Third Sector","SC422415",1,"BEDFORD","St Christopher's Fellowship","21/02/2011","Good",2015-01-07,1,"2014-01-01","2020-01-31",NA
"227","For-profit","SC426318",2,"STOKE ON TRENT","Unity Residential Care Services","02/04/2011","Outstanding",2015-01-07,1,"2014-01-01",NA,NA
"228","For-profit","SC408149",2,"DEVON","Phoenix Child Care Limited","25/02/2010","Good",2015-01-07,1,"2014-01-01",NA,NA
"229","For-profit","SC436818",3,"NOTTINGHAM","Grace Care Limited","20/02/2012","Good",2015-01-07,1,"2014-01-01",NA,NA
"230","For-profit","SC476252",5,"SHROPSHIRE","Cambian Childcare Ltd","09/03/2014","Good",2015-01-07,1,"2014-01-01",NA,NA
"231","For-profit","SC023646",8,"KENT","Acorn Homes (UK) Limited","06/07/1998","Good",2015-01-06,1,"2014-01-01",NA,NA
"232","For-profit","SC023746",3,"KENT","Ethelbert Specialist Homes Limited","26/06/2001","Good",2015-01-06,1,"2014-01-01",NA,NA
"233","Local Authority","SC038557",5,"NORTH TYNESIDE","North Tyneside Council","06/06/2003","Good",2015-01-06,1,"2014-01-01",NA,NA
"234","For-profit","SC390576",4,"WOLVERHAMPTON","The Partnership of Care Today Children's Services","29/04/2009","Good",2015-01-06,1,"2014-01-01",NA,NA
"235","For-profit","SC461846",6,"ESSEX","Pathways Care Group Limited","25/04/2013","Outstanding",2015-01-06,1,"2014-01-01",NA,NA
"236","Local Authority","SC465287",6,"NORTHAMPTONSHIRE","Northamptonshire Healthcare NHS Foundation Trust","22/07/2013","Good",2015-01-06,1,"2014-01-01",NA,NA
"237","Local Authority","SC034480",4,"NORFOLK","Norfolk County Council Children's Services","24/12/2003","Good",2015-01-06,1,"2014-01-01",NA,NA
"238","For-profit","SC405649",3,"GLOUCESTERSHIRE","Utopia Children's Services Ltd",NA,"Good",2015-01-06,1,"2014-01-01","2018-05-14",NA
"239","For-profit","SC022445",1,"ST HELENS",NA,NA,"Good",2015-01-06,1,"2014-01-01","2017-09-11",NA
"240","Local Authority","SC032475",5,"TRAFFORD","Trafford Borough Council","09/12/2003","Outstanding",2015-01-06,1,"2014-01-01",NA,NA
"241","For-profit","SC067839",2,"STAFFORDSHIRE","Future In Mind Limited","28/06/2006","Good",2015-01-06,1,"2014-01-01",NA,NA
"242","Third Sector","SC365647",3,"HERTFORDSHIRE",NA,NA,"Good",2015-01-06,1,"2014-01-01","2016-09-30",NA
"243","For-profit","SC423382",2,"SOMERSET",NA,NA,"Good",2015-01-06,1,"2014-01-01","2015-07-14",NA
"244","For-profit","SC457254",5,"CUMBRIA","North Lakes Children's Services Limited","13/12/2012","Outstanding",2015-01-06,1,"2014-01-01",NA,NA
"245","Local Authority","SC062128",6,"HOUNSLOW","London Borough of Hounslow","12/11/2004","Good",2015-01-06,1,"2014-01-01",NA,NA
"246","For-profit","SC062931",3,"KENT","Channels and Choices Kent LLP","08/04/2005","Good",2015-01-06,1,"2014-01-01",NA,NA
"247","For-profit","SC458352",3,"DEVON","Cambian Childcare Ltd","14/03/2013","Good",2015-01-06,1,"2014-01-01",NA,NA
"248","Local Authority","SC045408",2,"SURREY","Surrey County Council","19/11/2003","Good",2015-01-05,1,"2014-01-01",NA,NA
"249","Local Authority","SC040266",5,"WIGAN","Wigan Council","15/08/2003","Outstanding",2015-01-05,1,"2014-01-01",NA,NA
"250","Local Authority","SC034686",5,"DURHAM","Durham County Council","05/09/2003","Good",2015-01-05,1,"2014-01-01",NA,NA
"251","For-profit","SC384924",2,"KIRKLEES","Rosedale Children's Services Limited","20/10/2008","Outstanding",2015-01-05,1,"2014-01-01","2020-11-30",NA
"252","Local Authority","SC037282",7,"KENT","Kent County Council","03/09/2002","Good",2015-01-05,1,"2014-01-01",NA,NA
"253","For-profit","SC394875",2,"STAFFORDSHIRE","Future In Mind Limited","30/06/2009","Good",2014-12-31,1,"2014-01-01",NA,NA
"254","Local Authority","SC036186",8,"DERBYSHIRE","Derbyshire County Council","11/12/2003","Good",2014-12-31,1,"2014-01-01",NA,NA
"255","For-profit","SC438427",2,"TELFORD AND WREKIN","MGM Care Services Ltd","30/12/2011","Good",2014-12-31,1,"2014-01-01",NA,NA
"256","For-profit","SC023740",3,"KENT","Ethelbert Specialist Homes Limited","17/07/2001","Outstanding",2014-12-30,1,"2014-01-01",NA,NA
"257","Local Authority","SC033127",11,"NORTH EAST LINCOLNSHIRE","North East Lincolnshire Council","20/01/2004","Outstanding",2014-12-30,1,"2014-01-01",NA,NA
"258","Local Authority","SC030713",5,"WOKINGHAM","Wokingham Borough Council","13/05/2004","Outstanding",2014-12-30,1,"2014-01-01",NA,NA
"259","For-profit","SC456857",1,"ROCHDALE","Cambian Childcare Ltd","11/02/2013","Outstanding",2014-12-30,1,"2014-01-01",NA,NA
"260","Third Sector","SC459244",6,"NEWCASTLE UPON TYNE","St Cuthbert's Care","15/02/2013","Good",2014-12-29,1,"2014-01-01","2020-07-22",NA
"261","For-profit","SC061485",3,"PETERBOROUGH",NA,NA,"Good",2014-12-23,1,"2014-01-01","2015-05-01",NA
"262","Local Authority","SC035976",4,"DERBYSHIRE","Derbyshire County Council","22/12/2003","Good",2014-12-23,1,"2014-01-01",NA,NA
"263","Local Authority","SC356781",8,"WORCESTERSHIRE","Worcestershire County Council","01/06/2007","Good",2014-12-23,1,"2014-01-01","2019-10-01",NA
"264","For-profit","SC419229",3,"BIRMINGHAM","Care And Management Services Limited","02/11/2010","Good",2014-12-23,1,"2014-01-01",NA,NA
"265","Local Authority","SC038564",6,"NORTH TYNESIDE","North Tyneside Council","25/06/2003","Good",2014-12-22,1,"2014-01-01",NA,NA
"266","Local Authority","SC036298",7,"SEFTON","Sefton Metropolitan Borough Council","20/01/2004","Good",2014-12-22,1,"2014-01-01",NA,NA
"267","Local Authority","SC032315",5,"BRIGHTON AND HOVE","Brighton & Hove City Council","05/08/2003","Outstanding",2014-12-22,1,"2014-01-01",NA,NA
"268","For-profit","SC411074",2,"STOKE ON TRENT","Searchlight Care Services Ltd","07/06/2010","Outstanding",2014-12-22,1,"2014-01-01",NA,NA
"269","For-profit","SC464650",2,"SEFTON",NA,NA,"Good",2014-12-19,1,"2014-01-01","2017-04-04",NA
"270","For-profit","SC001452",8,"LEEDS","Five Rivers Child Care Limited","01/04/2002","Good",2014-12-19,1,"2014-01-01",NA,NA
"271","Third Sector","SC454294",4,"KENT","Institute of Integrated Systemic Therapy","02/11/2012","Good",2014-12-19,1,"2014-01-01",NA,NA
"272","For-profit","SC456149",6,"WARRINGTON","Bright Futures Care Limited T/A Cornerstones","31/10/2012","Good",2014-12-19,1,"2014-01-01",NA,NA
"273","For-profit","SC373693",3,"STAFFORDSHIRE","Pine Forest Homes Limited","13/05/2008","Good",2014-12-19,1,"2014-01-01","2019-12-12",NA
"274","Local Authority","SC034940",8,"YORK","City Of York Council","14/10/2003","Good",2014-12-19,1,"2014-01-01","2020-11-20",NA
"275","For-profit","SC411616",3,"WOKINGHAM","Calcot Services For Children Limited","17/06/2010","Outstanding",2014-12-19,1,"2014-01-01","2022-08-01",NA
"276","For-profit","SC438624",2,"WINDSOR AND MAIDENHEAD","Keys Care Limited","01/11/2011","Good",2014-12-19,1,"2014-01-01",NA,NA
"277","Local Authority","SC060332",4,"WORCESTERSHIRE","Worcestershire County Council","28/05/2004","Good",2014-12-18,1,"2014-01-01","2019-10-01",NA
"278","Local Authority","SC035428",4,"LANCASHIRE","Lancashire County Council","05/01/2004","Good",2014-12-18,1,"2014-01-01",NA,NA
"279","Third Sector","SC030367",42,"GLOUCESTERSHIRE","Cotswold Chine School","01/10/2003","Good",2014-12-18,1,"2014-01-01",NA,NA
"280","For-profit","SC478852",3,"STAFFORDSHIRE","Roundhouse Care Ltd","25/06/2014","Good",2014-12-18,1,"2014-06-25",NA,NA
"281","For-profit","SC378181",2,"STAFFORDSHIRE","Platinum Services For Children (residential Care) Ltd","09/09/2008","Good",2014-12-18,1,"2014-01-01","2022-06-17",NA
"282","For-profit","SC411194",4,"LEICESTERSHIRE",NA,NA,"Good",2014-12-18,1,"2014-01-01","2015-10-01",NA
"283","Local Authority","SC437069",6,"DERBYSHIRE","Derbyshire County Council","09/11/2011","Outstanding",2014-12-18,1,"2014-01-01",NA,NA
"284","Local Authority","SC458141",6,"HERTFORDSHIRE","Hertfordshire County Council","10/01/2013","Good",2014-12-18,1,"2014-01-01",NA,NA
"285","Local Authority","SC059635",8,"BRADFORD","Bradford Childrens Specialist Service","11/03/2004","Good",2014-12-17,1,"2014-01-01",NA,NA
"286","For-profit","SC413106",6,"KENT","Castle Homes Limited","23/06/2010","Good",2014-12-17,1,"2014-01-01","2019-04-30",NA
"287","Local Authority","SC036383",6,"OXFORDSHIRE","Oxfordshire County Council","24/03/2003","Good",2014-12-17,1,"2014-01-01","2019-05-04",NA
"288","Local Authority","SC040505",6,"SALFORD","Salford City Council","23/03/2004","Outstanding",2014-12-17,1,"2014-01-01","2019-04-23",NA
"289","For-profit","SC066393",3,"BIRMINGHAM","Cambian Childcare Ltd","18/01/2006","Good",2014-12-17,1,"2014-01-01",NA,NA
"290","For-profit","SC359818",4,"WOLVERHAMPTON","Cambian Childcare Ltd","30/03/2007","Good",2014-12-17,1,"2014-01-01",NA,NA
"291","For-profit","SC360834",4,"DEVON",NA,NA,"Good",2014-12-17,1,"2014-01-01","2016-10-06",NA
"292","For-profit","SC382159",5,"GREENWICH",NA,NA,"Good",2014-12-17,1,"2014-01-01","2017-07-31",NA
"293","For-profit","SC063116",6,"KENT","Ethelbert Specialist Homes Limited","01/12/2004","Outstanding",2014-12-17,1,"2014-01-01",NA,NA
"294","Third Sector","SC063814",4,"NORFOLK","Break","11/07/2005","Good",2014-12-17,1,"2014-01-01",NA,NA
"295","For-profit","SC064027",6,"STAFFORDSHIRE","Delam Care Limited","03/05/2005","Good",2014-12-17,1,"2014-01-01",NA,NA
"296","Local Authority","SC065883",9,"NORFOLK","Norfolk County Council Children's Services","14/10/2005","Outstanding",2014-12-17,1,"2014-01-01",NA,NA
"297","For-profit","SC355839",2,"BARNSLEY","Dove Adolescent Services Limited","02/07/2007","Outstanding",2014-12-17,1,"2014-01-01",NA,NA
"298","For-profit","SC356864",2,"BURY","Time-Out Childrens Homes Limited","27/03/2007","Good",2014-12-17,1,"2014-01-01",NA,NA
"299","For-profit","SC374268",3,"SANDWELL","Keys Care Limited","17/07/2008","Good",2014-12-17,1,"2014-01-01",NA,NA
"300","For-profit","SC396721",1,"SHROPSHIRE","Reflexion Care Group Limited","25/06/2009","Good",2014-12-17,1,"2014-01-01",NA,NA
"301","For-profit","SC062651",4,"SUFFOLK","Care Focus Limited","10/12/2004","Good",2014-12-17,1,"2014-01-01",NA,NA
"302","For-profit","SC390156",3,"KENT","Pilgrims Corner Limited","30/06/2009","Good",2014-12-17,1,"2014-01-01","2022-10-10",NA
"303","For-profit","SC059945",3,"LANCASHIRE","Pathfinders (childcare) Ltd","17/05/2004","Outstanding",2014-12-16,1,"2014-01-01","2020-02-26",NA
"304","Local Authority","SC428956",2,"CORNWALL","Cornwall Partnership NHS Foundation Trust","26/08/2011","Good",2014-12-16,1,"2014-01-01",NA,NA
"305","Local Authority","SC033919",5,"HARROW","London Borough of Harrow","17/11/2003","Outstanding",2014-12-16,1,"2014-01-01",NA,NA
"306","For-profit","SC479596",7,"NORTH EAST LINCOLNSHIRE","Tree House Care Fostering Solutions Ltd","22/07/2014","Good",2014-12-16,1,"2014-07-22",NA,NA
"307","For-profit","SC403472",5,"NEWCASTLE UPON TYNE","Artemis Support Ltd","11/05/2010","Outstanding",2014-12-16,1,"2014-01-01",NA,NA
"308","For-profit","SC008274",2,"STOKE ON TRENT","Searchlight Care Services Ltd","18/04/2001","Outstanding",2014-12-16,1,"2014-01-01",NA,NA
"309","For-profit","SC021677",4,"MANCHESTER","The Partnership of Care Today Children's Services","24/08/2001","Good",2014-12-16,1,"2014-01-01",NA,NA
"310","For-profit","SC456474",6,"KINGSTON UPON HULL","Cambian Childcare Ltd","02/12/2013","Good",2014-12-16,1,"2014-01-01",NA,NA
"311","For-profit","SC066917",2,"STAFFORDSHIRE","Oracle Care Limited","30/05/2006","Outstanding",2014-12-16,1,"2014-01-01",NA,NA
"312","For-profit","SC363403",4,"LINCOLNSHIRE","Broadwood Education Services","10/10/2007","Good",2014-12-16,1,"2014-01-01",NA,NA
"313","For-profit","SC421844",6,"BIRMINGHAM",NA,NA,"Inadequate",2014-12-16,1,"2014-01-01","2015-08-10",NA
"314","Third Sector","SC424089",14,"BUCKINGHAMSHIRE","Action For Children","14/03/2011","Good",2014-12-16,1,"2014-01-01",NA,NA
"315","For-profit","SC006011",2,"LANCASHIRE","Doncaster Deaf Trust","20/06/2001","Good",2014-12-16,1,"2014-01-01","2022-02-09",NA
"316","Local Authority","SC442779",2,"WARRINGTON","Warrington Borough Council","05/03/2012","Good",2014-12-16,1,"2014-01-01",NA,NA
"317","For-profit","SC428700",3,"SHEFFIELD","Pathway Care Solutions Ii Ltd","30/06/2011","Good",2014-12-15,1,"2014-01-01",NA,NA
"318","For-profit","SC028460",4,"HARINGEY","","30/04/2002","Good",2014-12-15,1,"2014-01-01",NA,NA
"319","For-profit","SC362965",1,"DORSET","Five Rivers Child Care Limited","28/11/2007","Good",2014-12-15,1,"2014-01-01",NA,NA
"320","For-profit","SC007290",4,"WALTHAM FOREST","","27/10/1998","Good",2014-12-15,1,"2014-01-01",NA,NA
"321","For-profit","SC475578",3,"TELFORD AND WREKIN",NA,NA,"Good",2014-12-15,1,"2014-05-15","2016-09-19",NA
"322","Local Authority","SC415138",6,"STAFFORDSHIRE","Staffordshire County Council","12/07/2010","Outstanding",2014-12-12,1,"2014-01-01",NA,NA
"323","Local Authority","SC066214",6,"WALSALL","Walsall Metropolitan Borough Council","09/02/2006","Good",2014-12-12,1,"2014-01-01","2019-06-30",NA
"324","Third Sector","SC403493",6,"SOMERSET","Blackford Education (schools) Ltd","24/11/2009","Outstanding",2014-12-12,1,"2014-01-01","2020-02-28",NA
"325","Third Sector","SC446957",4,"SUNDERLAND","North East Autism Society","28/05/2012","Good",2014-12-12,1,"2014-01-01","2022-08-25",NA
"326","Local Authority","SC040926",6,"WIGAN","Wigan Council","30/05/2003","Good",2014-12-12,1,"2014-01-01",NA,NA
"327","Local Authority","SC052599",10,"MILTON KEYNES","Milton Keynes Council","26/03/2004","Good",2014-12-12,1,"2014-01-01",NA,NA
"328","For-profit","SC389649",3,"MANCHESTER","Cambian Childcare Ltd","18/02/2009","Outstanding",2014-12-12,1,"2014-01-01","2020-12-20",NA
"329","For-profit","SC411825",2,"WIGAN","Inspire Childrens Services Limited","17/06/2010","Outstanding",2014-12-12,1,"2014-01-01",NA,NA
"330","For-profit","SC009651",4,"LANCASHIRE","Keys Childcare Ltd","08/02/1996","Good",2014-12-11,1,"2014-01-01",NA,NA
"331","For-profit","SC392602",3,"CUMBRIA",NA,NA,"Good",2014-12-11,1,"2014-01-01","2017-02-15",NA
"332","Local Authority","SC039673",6,"LANCASHIRE","Lancashire County Council","19/08/2003","Good",2014-12-11,1,"2014-01-01",NA,NA
"333","Local Authority","SC032253",6,"EALING","London Borough of Ealing",NA,"Good",2014-12-11,1,"2014-01-01","2018-05-13",NA
"334","Local Authority","SC032502",13,"HILLINGDON","The London Borough of Hillingdon","17/11/2003","Good",2014-12-11,1,"2014-01-01",NA,NA
"335","For-profit","SC456157",6,"WARRINGTON","Bright Futures Care Limited T/A Cornerstones","31/10/2012","Outstanding",2014-12-11,1,"2014-01-01",NA,NA
"336","Third Sector","SC400901",6,"NORFOLK","Break","21/01/2010","Good",2014-12-11,1,"2014-01-01",NA,NA
"337","Local Authority","SC456710",4,"STOCKTON ON TEES","Stockton on Tees Borough Council","08/11/2012","Good",2014-12-11,1,"2014-01-01",NA,NA
"338","For-profit","SC457137",1,"DEVON","Cambian Childcare Ltd","14/03/2013","Good",2014-12-11,1,"2014-01-01",NA,NA
"339","For-profit","SC410535",3,"BIRMINGHAM","Positive Pathways Limited","19/07/2010","Outstanding",2014-12-11,1,"2014-01-01",NA,NA
"340","For-profit","SC438648",2,"KENT","Benecare Limited","14/12/2011","Good",2014-12-11,1,"2014-01-01",NA,NA
"341","For-profit","SC475748",7,"LANCASHIRE","Witherslack Group Ltd","30/06/2014","Good",2014-12-11,1,"2014-06-30",NA,NA
"342","For-profit","SC023645",7,"KENT","Acorn Homes (UK) Limited","05/07/2000","Good",2014-12-10,1,"2014-01-01",NA,NA
"343","Local Authority","SC037984",3,"DARLINGTON","Darlington Borough Council","05/09/2003","Good",2014-12-10,1,"2014-01-01",NA,NA
"344","For-profit","SC064934",3,"BARNSLEY","Dove Adolescent Services Limited","28/12/2005","Outstanding",2014-12-10,1,"2014-01-01",NA,NA
"345","For-profit","SC390751",5,"DARLINGTON","Acorn Care (UK) Limited","22/04/2009","Good",2014-12-10,1,"2014-01-01",NA,NA
"346","For-profit","SC392712",2,"NOTTINGHAMSHIRE","Capstone Care Provider Limited","13/05/2009","Good",2014-12-10,1,"2014-01-01",NA,NA
"347","For-profit","SC413078",2,"NOTTINGHAMSHIRE","Castle Homes Care Ltd","28/07/2010","Good",2014-12-10,1,"2014-01-01","2021-09-01",NA
"348","Local Authority","SC033486",8,"BRADFORD",NA,NA,"Good",2014-12-10,1,"2014-01-01","2017-09-25",NA
"349","For-profit","SC047894",4,"SUFFOLK","Care Focus Limited","26/09/2003","Good",2014-12-10,1,"2014-01-01",NA,NA
"350","For-profit","SC480671",8,"LANCASHIRE","Hexagon Care Services Limited","23/10/2014","Good",2014-12-10,1,"2014-10-23",NA,NA
"351","Local Authority","SC066549",2,"TRAFFORD",NA,NA,"Good",2014-12-10,1,"2014-01-01","2016-04-30",NA
"352","For-profit","SC362170",3,"STOKE ON TRENT","Searchlight Care Services Ltd","17/01/2008","Outstanding",2014-12-10,1,"2014-01-01",NA,NA
"353","For-profit","SC383941",4,"WORCESTERSHIRE","Archways Care Ltd","23/12/2008","Good",2014-12-10,1,"2014-01-01","2022-11-18",NA
"354","For-profit","SC405977",2,"TELFORD AND WREKIN","Reflexion Care Group Limited","15/01/2010","Good",2014-12-10,1,"2014-01-01",NA,NA
"355","Local Authority","SC038719",16,"HAMPSHIRE","Hampshire County Council","31/03/2004","Good",2014-12-10,1,"2014-01-01",NA,NA
"356","For-profit","SC417031",4,"DURHAM","Pathways Care Group Limited","03/12/2010","Good",2014-12-10,1,"2014-01-01",NA,NA
